index,train,validation,test
0,TCGA-2Y-A9GS,TCGA-2Y-A9GT,TCGA-G3-AAV0
1,TCGA-2Y-A9GV,TCGA-2Y-A9H5,TCGA-RC-A7SF
2,TCGA-2Y-A9GW,TCGA-BC-A10Q,TCGA-WX-AA44
3,TCGA-2Y-A9GZ,TCGA-BC-A10Y,TCGA-G3-A25T
4,TCGA-2Y-A9H1,TCGA-BC-A5W4,TCGA-5C-AAPD
5,TCGA-2Y-A9HA,TCGA-CC-5264,TCGA-FV-A495
6,TCGA-4R-AA8I,TCGA-CC-A7IE,TCGA-ZP-A9D2
7,TCGA-5R-AAAM,TCGA-CC-A8HU,TCGA-2Y-A9GY
8,TCGA-BC-4072,TCGA-DD-A11B,TCGA-GJ-A6C0
9,TCGA-BC-A10S,TCGA-DD-A1EG,TCGA-UB-A7MD
10,TCGA-BC-A10U,TCGA-DD-A39Y,TCGA-DD-A1EK
11,TCGA-BC-A10W,TCGA-DD-A3A4,TCGA-CC-5262
12,TCGA-BC-A10X,TCGA-DD-A4NE,TCGA-BC-A10R
13,TCGA-BC-A10Z,TCGA-DD-AA3A,TCGA-CC-A3M9
14,TCGA-BC-A110,TCGA-DD-AADC,TCGA-NI-A4U2
15,TCGA-BC-A112,TCGA-FV-A2QR,TCGA-DD-AACQ
16,TCGA-BC-A217,TCGA-G3-A25S,TCGA-2Y-A9H8
17,TCGA-CC-5258,TCGA-GJ-A9DB,TCGA-DD-A115
18,TCGA-CC-5260,TCGA-XR-A8TF,TCGA-EP-A2KC
19,TCGA-CC-5261,TCGA-EP-A2KA,TCGA-DD-AACZ
20,TCGA-CC-5263,TCGA-2Y-A9GX,TCGA-DD-A3A1
21,TCGA-CC-A1HT,TCGA-2Y-A9H6,TCGA-DD-AACG
22,TCGA-CC-A3MB,TCGA-5C-A9VH,TCGA-DD-A3A8
23,TCGA-CC-A5UC,TCGA-BC-A69H,TCGA-G3-AAV1
24,TCGA-CC-A5UE,TCGA-CC-A7II,TCGA-CC-A3MA
25,TCGA-CC-A7IF,TCGA-DD-A118,TCGA-DD-A1EJ
26,TCGA-CC-A7IG,TCGA-DD-A1EC,TCGA-CC-A7IL
27,TCGA-CC-A7IK,TCGA-DD-A4NI,TCGA-DD-A4NQ
28,TCGA-CC-A8HT,TCGA-DD-A73A,TCGA-DD-AACC
29,TCGA-CC-A8HV,TCGA-DD-AAC9,TCGA-DD-A4NK
30,TCGA-DD-A114,TCGA-DD-AACJ,TCGA-EP-A2KB
31,TCGA-DD-A116,TCGA-DD-AACT,TCGA-DD-AADR
32,TCGA-DD-A119,TCGA-DD-AAD0,TCGA-ED-A459
33,TCGA-DD-A11D,TCGA-DD-AAD6,TCGA-DD-AAEB
